Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
rider-build-sg-full-bottle-02-10-candy-toys-and-soft-confectionery-products,Rider build SG full bottle 02 10 Candy Toys and soft confectionery products,Rider build SG full bottle 02 10 Candy Toys and soft confectionery products,MASKED RIDER,,TOYS,"egnition-sample-data, masked-rider, toys",true,Title,Default Title,,,,,TOY404,0.0,shopify,15,deny,manual,80.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/7bc8804df637599d0d5bcd86c5cf436e.jpg?v=1676441457,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
sodo-rider-build-build4-12-pieces-candy-toys-and-soft-confectionery-products,Sodo Rider build BUILD4 12 pieces Candy Toys and soft confectionery products,Sodo Rider build BUILD4 12 pieces Candy Toys and soft confectionery products ,MASKED RIDER,,TOYS,"egnition-sample-data, masked-rider, toys",true,Title,Default Title,,,,,TOY403,0.0,shopify,6,deny,manual,66.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/3a4b723c7d23612d3e58d06ec60a3214.jpg?v=1676441455,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monopoly-deal-card-game-multilingual,Monopoly Deal Card Game (Multilingual),"New and high quality. Featured with great entertainment, easy playing method and compact design",MONOPOLY,,TOYS,"egnition-sample-data, monopoly, toys",true,Title,Default Title,,,,,TOY402,0.0,shopify,17,deny,manual,2.71,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/356aad1299a445686f804a6311f0877e.jpg?v=1676441452,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
uno-card-and-monopoly-deal-card-new-game-bundle-set,Uno Card and Monopoly Deal Card New Game Bundle Set,Uno Card and Monopoly Deal Card New Game Bundle Set,MONOPOLY,,TOYS,"egnition-sample-data, monopoly, toys",true,Title,Default Title,,,,,TOY401,0.0,shopify,3,deny,manual,4.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/aa02e30a4c272b7eab922114dc402beb.jpg?v=1676441450,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-lagoona-blue-doll,Monster High Lagoona Blue Doll,"The Monster High dolls are ready to soak up fun! Lagoona Blue doll wears a bathing suit with fintastic style. Play out moments at the beach, poolside or anywhere your imagination wants to splash around.",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY400,0.0,shopify,5,deny,manual,4.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/15e9753763ea0d7eef183a6640795e5c.jpg?v=1676441448,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-fright-mares-fawntine-fallowhart-doll,Monster High Fright-Mares Fawntine Fallowhart Doll,"Deep within the catacombs of the iconic school live new beast friends for the Monster High ghouls. Half centaur-half unique monster, these monster mash-ups are real Fright-Mares!",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY399,0.0,shopify,3,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/152bd704b6ad53e24355233c60342fa0.jpg?v=1676441447,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-ghoul-la-la-locker-doll,Monster High Ghoul-La-La Locker Doll,Clawdeen Wolf doll comes with a coffin-shaped ghoul-la-la locker to play out life in the howlways at Monster High.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY398,0.0,shopify,4,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/fea4803fe99b1c6537801d5879fe617f.jpg?v=1676441444,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-fright-mares-flara-blaze-doll,Monster High Fright-Mares Flara Blaze Doll,"Deep within the catacombs of the iconic school live new beast friends for the Monster High ghouls. Half centaur-half unique monster, these monster mash-ups are real Fright-Mares!",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY397,0.0,shopify,20,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/a73c8841194a3dd52e111a7ec9fecc2c.jpg?v=1676441442,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-great-scarrier-reef-glowsome-ghoulfish-lagoona-blue-doll,Monster High Great Scarrier Reef Glowsome Ghoulfish Lagoona Blue Doll,"Lagoona Blue, daughter of a Sea Monster, makes waves as a Sail Fish. Her unique colorful tail curls to allow the doll to stand on her own!",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY396,0.0,shopify,14,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/f5d81ba5991cb5dd4a571cfb47552158.jpg?v=1676441440,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-school-playsets-gift-set,Monster High School Playsets Gift Set,You'll shriek with defright playing out life at Monster High! Be a mad scientist with Frankie Stein doll and the Skulltimate Science Class set.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, on-sale, toys",true,Title,Default Title,,,,,TOY395,0.0,shopify,4,deny,manual,35.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/31b4dbde765a64e709af711d054df0f3.jpg?v=1676441438,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-dance-the-fright-away-clawdeen-wolf-doll,Monster High Dance the Fright Away - Clawdeen Wolf Doll,"Daughter of the Werewolf, Clawdeen Wolf doll is furr-ocious in a drop-waist dress that combines animal prints with trendy zippers, furry accents and a fashionable ruffled hem.",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY394,0.0,shopify,17,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/1c4faa0098fcbdaa0e2caa817a167796.jpg?v=1676441436,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-draculaura-doll,Monster High Draculaura Doll,Articulation at the shoulders and knees adds to the fun with more scary cool poses and storytelling possibilities.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY393,0.0,shopify,4,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/94ee6822b2846b291843f7c08f1722fd.jpg?v=1676441435,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-frankie-stein-doll,Monster High Frankie Stein Doll,Articulation at the shoulders and knees adds to the fun with more scary cool poses and storytelling possibilities.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY392,0.0,shopify,0,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/9ef6dc9a4afd131cd425015c32410bae.jpg?v=1676441432,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-dance-the-fright-away-frankie-stein-doll,Monster High Dance the Fright Away - Frankie Stein Doll,"Frankie Stein doll, daughter of Frankenstein, is voltageous in her signature plaid with lightning bright metallic accents, golden earrings and silvery bolt-detailed heels",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY391,0.0,shopify,7,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/18cceb8f890789cdd589610b7f7a358c.jpg?v=1676441430,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-dance-the-fright-away-lagoona-blue-doll,Monster High Dance the Fright Away - Lagoona Blue Doll,"Daughter of the Sea Monster, Lagoona Blue doll makes waves in a fintastic dress with colors, prints and floaty ruffles inspired by the sea.",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY390,0.0,shopify,19,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/6356ba8539466484a9e75ef755632034.jpg?v=1676441428,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-dance-the-fright-away-draculaura-doll,Monster High Dance the Fright Away - Draculaura Doll,"Draculaura doll, daughter of Dracula, is to-die-for in her signature pink and black with a metallic shoulder piece and bat print, dramatic collar necklace, spider web-themed hairpiece and bat-detailed black shoes. ",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY389,0.0,shopify,9,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/61c1bafc9c37cd8a4098d39aa2ec76e2.jpg?v=1676441425,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-first-day-of-school-frankie-stein-doll,Monster High First Day of School Frankie Stein Doll,Flexibility at the shoulders and knees adds to the fun with more scary cool poses and storytelling possibilities.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY388,0.0,shopify,19,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/5e2db482e44165fb834713eb6cfdd4d7.jpg?v=1676441423,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-first-day-of-school-ari-hauntington-doll,Monster High First Day of School Ari Hauntington Doll,Flexibility at the shoulders and knees adds to the fun with more scary cool poses and storytelling possibilities.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY387,0.0,shopify,12,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/494525216aa0db9ca8572b1faea86ca9.jpg?v=1676441421,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-first-day-of-school-draculaura-doll,Monster High First Day of School Draculaura Doll,Flexibility at the shoulders and knees adds to the fun with more scary cool poses and storytelling possibilities.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY386,0.0,shopify,1,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/6dfbdcbdbe4eaa0925cc1461153cc7f8.jpg?v=1676441419,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-electrified-monstrous-hair-ghouls-clawdeen-wolf-doll,Monster High Electrified Monstrous Hair Ghouls Clawdeen Wolf Doll,"Amp up the fun with the Monster High Electrified hairstyling dolls! Clawdeen Wolf doll has monstrous hair, six cute accessories and a beastie friend figure for hair-raising fun.",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY385,0.0,shopify,4,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/9ac04e95ebb57e74bdfa4e880f64072c.jpg?v=1676441417,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-electrified-hair-raising-ghouls-ari-hauntington-doll,Monster High Electrified Hair-Raising Ghouls Ari Hauntington Doll,"Amp up the fun with the Monster High Electrified dolls! Bolting off the screen in bold looks, bright makeup and multi-colored hair, these ghouls are ready to chase their dreams and light up the world!",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY384,0.0,shopify,2,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/a803f3a7c30bd95639f33e68f73836d5.jpg?v=1676441415,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-monster-family-wolf-bunk-bed-playset-with-dolls,Monster High Monster Family Wolf Bunk Bed Playset with Dolls,Monster High family doll packs help bring the ghouls home lives to life.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY383,0.0,shopify,11,deny,manual,25.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/11e033beec0dd39d1ed2d3d800a2a9e7.jpg?v=1676441413,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-monster-family-dolls-2-pack,Monster High Monster Family Dolls 2-Pack,Monster High family doll packs help bring the ghouls' home lives to life.,MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY382,0.0,shopify,13,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/d8755ccd5c14ddb29e8df3d228611f31.jpg?v=1676441410,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
monster-high-monster-family-vampire-kitchen-playset-and-2-pack-dolls,Monster High Monster Family Vampire Kitchen Playset and 2-Pack Dolls,"Draculaura doll and her father, Dracula doll, can cook up a storm for friends and family with this Monster High vampire kitchen play set. It comes with all of the ingredients for fun: both Draculaura doll and Dracula doll, along with furniture and so many accessories!",MONSTER HIGH,,TOYS,"egnition-sample-data, monster-high, toys",true,Title,Default Title,,,,,TOY381,0.0,shopify,11,deny,manual,39.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/2cb6fc14042c87970bf324834bd8d8fd.jpg?v=1676441408,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-friends-mr-potato-head-han-spud-lo,Playskool Friends Mr. Potato Head Han Spud-Lo,Young Jedi can mix up the fun with this intergalactic Mr. Potato Head figure! ,PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY308,0.0,shopify,20,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/f50373167a7017222bdc18eac7058929.jpg?v=1676441406,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
elefun-and-friends-barrel-of-monkeys-game,Elefun and Friends Barrel of Monkeys Game,Start your own wild monkey parade with the Barrel of Monkeys game!,PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY307,0.0,shopify,3,deny,manual,4.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/e9d7ef84b3b9328caebb9ee7b191377e.jpg?v=1676441404,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-mr-potato-head,PLAYSKOOL MR. POTATO HEAD,Discover all the possibilities of the wonderful and wacky Mr. Potato Head toy!,PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY380,0.0,shopify,1,deny,manual,7.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/c0d195d70a5f217ad3ca295545f0ad67.jpg?v=1676441402,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mr-potato-head-marvel-classic-scale-tony-stark-iron-man,Mr. Potato Head Marvel Classic Scale Tony Stark Iron Man,One of your favorite Marvel Super Heroes becomes a super tater! ,PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY379,0.0,shopify,18,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/fcfa1c5ec087ae63b7831d1c21fa78d7.jpg?v=1676441400,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-mr-potato-head-luke-frywalker,Playskool Mr. Potato Head Luke Frywalker,Get ready for Galactic-style fun with this Mr. Potato Head Luke Frywalker figure!,PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY378,0.0,shopify,1,deny,manual,12.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/87675b74a177e5d283a5ef59e72770cd.jpg?v=1676441398,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-play-favorites-lullaby-gloworm-toy-pink,PLAYSKOOL PLAY FAVORITES LULLABY GLOWORM Toy (Pink),Snuggle time is one of our favorite times of the day and our GLOWORM friend has been an expert snuggler for over 25 years. ,PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY377,0.0,shopify,6,deny,manual,16.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/b20fc61ec81b0dadf031ddbc4396501b.jpg?v=1676441396,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-play-favorites-lullaby-gloworm-toy-blue,PLAYSKOOL PLAY FAVORITES LULLABY GLOWORM Toy (Blue),Snuggle time is one of our favorite times of the day and our GLOWORM friend has been an expert snuggler for over 25 years. ,PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY376,0.0,shopify,4,deny,manual,16.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/079b2af08f1c209a3951579f226e6216.jpg?v=1676441393,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-heroes-transformers-rescue-bots-bumblebee,Playskool Heroes Transformers Rescue Bots Bumblebee,"Robots and humans saving the day, working together the Rescue Bots way! Little heroes can imagine joining Bumblebee on daring rescue missions!",PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY375,0.0,shopify,5,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/aee7f0a98a46d8bcb6ca1ef787351efe.jpg?v=1676441391,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-mr-potato-head-silly-suitcase,PLAYSKOOL MR. POTATO HEAD SILLY SUITCASE,"More pieces for even more mix-and-mash fun! Mr. Potato Head comes in a carry-along suitcase full of parts and pieces, like crazy glasses and wacky mustaches.",PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY374,0.0,shopify,20,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/d6a5bc50348b318d74691be2307d645d.png?v=1676441388,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-friends-mr-potato-head-marvel-spider-spud-suitcase,Playskool Friends Mr. Potato Head Marvel Spider-Spud Suitcase,"Changing identity has always been a favorite practice for both Marvel Super Heroes and Mr. Potato Head--and with this Mr. Potato Head Marvel Spider-Spud Suitcase set, little Super Heroes can create one of their favorite Marvel characters and his alter ego!",PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY373,0.0,shopify,4,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/12c008ac3f4af60d0d2afeb31e95cf60.jpg?v=1676441386,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
playskool-friends-sesame-street-tickle-me-elmo,Playskool Friends Sesame Street Tickle Me Elmo,Elmo hysterical laugh is back! The magic of Tickle Me Elmo returns--redesigned for a whole new generation of fans!,PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY372,0.0,shopify,5,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/fff6862548682d5f77ddb376b66bbe77.jpg?v=1676441384,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mr-potato-head-marvel-agents-of-s-p-u-d-pack,Mr. Potato Head Marvel Agents of S.P.U.D. Pack,"Marvel's Hulk and Iron Man join forces for a Super Hero combination! This Marvel Agents of S.P.U.D. pack includes a full-sized 5.5-inch Hulk and a 2-inch Iron Man mini figure, sized right for little hands and epic imaginary adventures!",PLAYSKOOL,,TOYS,"egnition-sample-data, playskool, toys",true,Title,Default Title,,,,,TOY371,0.0,shopify,18,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/6be56da62d0cdf4b445e22ad6b9ba9eb.jpg?v=1676441383,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-disney-aladdin,Funko Pop Disney Aladdin,Funko Pop #352 Disney Aladdin,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY370,0.0,shopify,4,deny,manual,13.09,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/33e6faa3a230881295992df401bec4b2.jpg?v=1676441381,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-heroes-robin,Funko Pop Heroes: Robin,Funko Pop Heroes: Robin,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY369,0.0,shopify,3,deny,manual,13.09,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/5cbb3afe0eaec5259ba9c9ca1fbe9111.jpg?v=1676441379,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-television-the-100-clarke-griffin,Funko Pop Television The 100 Clarke Griffin,Funko Pop Television The 100 # 438 Clarke Griffin,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY368,0.0,shopify,9,deny,manual,11.13,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/686ee987240cc81dabbf2b0637c38b0a.jpg?v=1676441377,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-disney-ariel-the-little-mermai,Funko Pop Disney Ariel The Little Mermai,Funko Pop #220 Disney Ariel The Little Mermai,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY367,0.0,shopify,8,deny,manual,13.09,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/a687a2669be3535017f6b2e5d049448a.jpg?v=1676441375,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-nba-kevin-durant,Funko Pop NBA Kevin Durant,Funko Pop NBA #33 Kevin Durant,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY366,0.0,shopify,8,deny,manual,13.09,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/6979332e06997c2aea4366a88f54ef3b.jpg?v=1676441373,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-rock-candy-harry-potter-luna-lovegood,Funko Rock Candy Harry Potter:Luna Lovegood,Funko Rock Candy Harry Potter:Luna Lovegood,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY365,0.0,shopify,0,deny,manual,13.09,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/8ecff39429d1053b607c4658f6bf14ff.jpg?v=1676441371,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-disney-gravity-falls-grunkle-stan,Funko Pop Disney Gravity Falls Grunkle Stan,"This toy is designed for children and collectors. From the Disney channel animated series Gravity Falls, comes a stylized figure of Grunkle Stan",FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY364,0.0,shopify,1,deny,manual,11.13,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/1a285d3812cc0b7b60e7c25a4e91a47d.jpg?v=1676441369,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-television-rugrats-chuckie-finster,Funko Pop Television Rugrats Chuckie Finster,Funko Pop Television Rugrats #226 Chuckie Finster,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY363,0.0,shopify,19,deny,manual,11.13,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/52e7dcc537f6662739486768956533f8.jpg?v=1676441367,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-games-five-nights-at-freddys-chica,Funko Pop Games Five Nights at Freddy's Chica,Funko Pop Games Five Nights at Freddy's # 108 Chica,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY362,0.0,shopify,18,deny,manual,11.13,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/99341c21398edb3f77bdbb9e546cfa6b.jpg?v=1676441365,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
funko-pop-pop-vinyl-thor-ragnarok-s1-thor-gladiator-suit,Funko Pop Pop Vinyl Thor Ragnarok S1 Thor Gladiator Suit,Funko Pop #240 Pop Vinyl Thor Ragnarok S1 Thor Gladiator Suit,FUNKO,,TOYS,"egnition-sample-data, funko, toys",true,Title,Default Title,,,,,TOY361,0.0,shopify,17,deny,manual,13.09,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/ddddb7679ad9ed1bed9a61223b8d0f39.jpg?v=1676441364,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
pj-masks-owlette-case,PJ Masks Owlette Case,PJ Masks Owlette Case,PJ MASKS,,TOYS,"egnition-sample-data, pj-masks, toys",true,Title,Default Title,,,,,TOY360,0.0,shopify,9,deny,manual,16.73,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/46a3e48097e558184da3ef45d78d965a.jpg?v=1676441362,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
pj-mask-rev-n-rumble-gekko-mobile,PJ Mask Rev-N-Rumble Gekko Mobile,PJ Mask Rev-N-Rumble Gekko Mobile,PJ MASKS,,"","egnition-sample-data, pj-masks, toys",true,Title,Default Title,,,,,TOY359,0.0,shopify,17,deny,manual,18.70,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/660b182ff9ed7c93f3bf66c0c33543bd.jpg?v=1676441360,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
pj-masks-wheelie-vehicle-romeo,PJ Masks Wheelie Vehicle - Romeo,PJ Masks Wheelie Vehicle - Romeo,PJ MASKS,,TOYS,"egnition-sample-data, pj-masks, toys",true,Title,Default Title,,,,,TOY358,0.0,shopify,6,deny,manual,13.09,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/b9a5e03414699e5e8f7629732fdaedbd.jpg?v=1676441359,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
pj-masks-light-up-gekko-and-night-ninja-figure-2-pack,PJ Masks Light Up Gekko and Night Ninja Figure 2 Pack,PJ Masks Light Up Gekko and Night Ninja Figure 2 Pack,PJ MASKS,,TOYS,"egnition-sample-data, pj-masks, toys",true,Title,Default Title,,,,,TOY357,0.0,shopify,5,deny,manual,13.09,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/26190b4103f2e99e3989852bc65f1020.jpg?v=1676441357,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
pj-masks-gekko-dress-up-set,PJ Masks Gekko Dress up Set,PJ Masks Gekko Dress up Set,PJ MASKS,,TOYS,"egnition-sample-data, pj-masks, toys",true,Title,Default Title,,,,,TOY356,0.0,shopify,17,deny,manual,37.40,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/5c4753244694fdbdd3ac4c83221be1a7.jpg?v=1676441355,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
